minute_2_0,xg_at_event,target_comeback
79,2.4132768055424094,0
58,1.352506298571825,0
66,2.483461500145495,0
53,1.2235525185242295,0
73,1.7943680034950376,0
55,1.3512403881177306,0
63,1.6087326984852552,0
81,4.001305823214352,0
24,0.9988462161272764,0
81,2.552641101181507,0
22,0.6322648343630135,1
46,1.4695343058556318,0
45,1.13999361731112,1
39,1.849310241639614,0
68,2.028918832540512,0
50,1.7565957801416516,0
27,0.4603977035731077,0
47,1.7901476882398129,0
86,2.546567372046411,0
19,1.5115996077656746,0
17,1.5013805739581585,0
9,0.14841270074248314,0
50,2.759995484724641,0
54,1.8431076789274812,0
33,1.5332600753754377,0
29,0.5925492085516453,0
60,2.6771358968690038,0
11,0.5090925917029381,0
37,0.5913412775844336,0
15,0.49989639315754175,1
58,2.3856123089790344,0
88,4.603005601093173,0
73,3.100216115824878,0
58,2.1772900838404894,0
48,1.142111912369728,0
48,0.8999438090249896,0
30,1.675073471851647,0
64,0.8564009005203843,0
19,0.5900254957377911,0
13,1.1080884262919426,0
54,1.2340094149112701,0
26,0.7116537131369114,0
46,2.5673922933638096,0
66,2.725001396611333,0
24,0.8557956945151091,0
41,0.7534479163587093,0
81,1.911002746783197,0
47,0.2957132961601019,0
25,0.7736145611852407,0
47,1.426444930024445,0
56,1.753318287897855,0
65,1.7916906541213393,0
19,1.404053590260446,0
51,3.382191715762019,0
30,0.2774861352518201,0
35,1.1314243441447616,0
89,2.149546293541789,0
83,1.599474785849452,0
53,1.7256856001913548,0
37,0.6301797870546579,0
48,0.8533571185544133,0
39,0.40144800394773483,0
49,1.4791588634252548,1
70,2.378497475758195,0
31,1.1986348889768124,0
16,1.8855797350406647,0
16,0.24215520359575748,0
50,2.129483798518777,0
92,4.001224236562848,0
56,1.672969885636121,0
91,1.2800213126465678,0
69,2.810710782185197,0
15,0.8051364831626415,0
44,2.8093418097123504,0
85,3.7702167434617877,0
93,1.5001645339652896,0
86,4.037215385586023,0
57,0.9072683081030846,0
15,1.113120211288333,0
14,1.2365873623639345,0
