minute_2_0,xg_at_event,target_comeback
24,0.7119066063314676,1
26,2.074526890181005,0
33,1.6451895264908671,0
76,1.6810343144461513,0
65,2.6085987268015742,0
30,0.9218346998095512,1
4,0.2021251991391182,0
75,3.279423898551613,0
34,1.9424689002335072,0
3,0.35939939320087433,0
52,1.0588098065927625,0
51,1.5521524967625737,0
23,0.6516602039337158,0
54,2.9629063699394464,0
37,1.4648095332086086,0
72,3.283909387886524,0
74,2.0600997302681208,0
69,1.7284586736932397,0
63,2.081549910828471,0
22,0.7488963007926941,0
95,2.4431222695857286,0
54,0.6570133036002517,0
69,2.330830135382712,0
80,3.3225576914846897,0
69,4.348873665556312,0
51,1.3659822782501578,0
33,1.8560935370624065,0
70,2.6293088337406516,0
80,1.361055695451796,0
19,0.7053141081705689,0
77,3.15470864623785,0
44,1.5835257023572922,0
19,0.5774581078439951,0
50,1.0168211981654167,0
55,1.3986062807962298,0
64,1.7645644135773182,0
81,1.7926357220858335,0
91,3.445084818638861,0
36,1.012058800086379,1
33,0.40346380788832903,1
70,2.470496730878949,0
83,1.8406827738508582,0
21,0.3817020058631897,0
27,2.255857498385012,0
75,1.5673176208510995,0
55,1.5363938929513097,0
8,2.5238989256322384,0
59,1.5736669162288308,0
82,1.8999348869547248,0
78,1.8405104810371995,0
55,1.7371703628450632,0
68,1.3367796777747571,0
58,2.3746939338743687,0
52,1.795423798263073,1
78,1.8823398314416409,0
37,1.047184493392706,0
61,0.4163313563913107,1
54,2.3047025902196765,0
22,1.248367209918797,0
57,3.5055908113718033,0
82,4.029043385758996,0
40,1.4950271286070347,1
40,2.7380847386084497,0
49,2.385173692367971,0
14,0.9242290109395981,0
9,0.5435967016965151,0
63,3.760471446439624,0
39,1.954428430646658,0
67,1.7913032714277506,0
37,1.1896851100027561,0
63,2.0114122219383717,0
57,1.4532456286251545,0
63,0.7803646959364414,0
33,0.5690577942878008,1
39,1.4118980951607227,0
33,1.762648705393076,0
49,3.1546592973172665,0
51,2.1333168018609285,1
63,1.2523707821965218,0
44,1.0735792191699147,1
37,2.240337969735265,0
16,0.9608930051326752,0
72,2.857463402673602,0
56,2.1551694190129638,0
61,1.1944830995053053,0
16,0.469270009547472,0
64,0.5772484824992716,0
17,1.0227808877825737,0
64,3.2446475736796856,0
70,1.948969379067421,0
26,1.3080850839614868,0
35,1.5016282172873616,0
49,2.5764056276530027,0
87,3.0110708782449365,0
37,1.8300634995102882,0
79,1.0519590182229877,0
50,0.795087126083672,0
78,3.172479083761573,0
45,1.4647495038807392,0
41,1.0647374019026756,0
81,2.0603056880645454,0
34,1.236339308321476,0
79,0.5437994003295898,0
31,1.0628884145990014,0
61,1.3760302187874913,0
45,0.43572315759956837,0
10,0.9143092036247253,0
46,1.0182869918644428,0
56,1.5651021245867014,0
67,1.9869603784754872,0
27,0.8769727889448404,0
55,2.024433095008135,0
91,3.633606169372797,0
16,0.8242989908903837,0
43,1.456007905304432,0
33,1.2842910718172789,0
55,0.45942080207169056,0
68,2.047301766462624,0
29,1.6081815846264362,0
38,1.7437205882743,0
49,2.80658271163702,1
69,1.855760795995593,0
74,1.116041992790997,0
59,2.747131352312863,0
31,1.3725428096950054,0
34,1.6060555800795555,0
50,2.027526205405593,0
67,1.5721789058297873,1
50,2.1831151666119695,0
13,1.0376799926161766,0
47,1.0841577053070068,0
62,2.029036372900009,0
54,0.9794929251074791,0
48,0.45024449937045574,0
79,1.1594266947358847,0
85,2.6553559280000627,0
54,1.8173661977052689,0
34,0.9685220122337341,0
72,1.1843092134222388,0
44,2.475337542593479,0
37,1.7047973852604628,0
37,1.8557469276711345,0
91,1.262752691283822,0
67,1.8332922849804163,0
76,1.271496219560504,0
58,1.5250535774976015,0
15,1.458042323589325,0
44,1.4166485965251923,1
59,0.5811820095404983,0
24,1.6093201898038387,0
29,0.492918411269784,0
30,1.4041741844266653,0
26,2.1777864657342434,0
30,2.2330860290676355,0
31,0.7169167082756758,1
76,2.594583903439343,0
53,2.137367877177894,0
82,2.9807689916342497,0
39,1.153678199276328,0
30,2.0490353982895613,0
50,0.9371340051293373,0
89,2.2830562349408865,0
16,1.1700247377157211,1
67,1.6958561278879642,0
34,1.7191833001561463,0
62,0.8213798915967345,1
51,0.6647179927676916,0
37,1.5744039993733168,0
8,0.9907780978828669,1
17,0.8972566239535809,1
28,1.1028028102591634,0
79,1.7390963332727551,0
20,0.965229800902307,0
58,2.105943836271763,0
60,2.660822780802846,0
12,1.486920416355133,0
11,0.5890190023928881,0
63,1.2086806073784828,0
44,3.0036686416715384,0
35,1.34983342140913,0
89,2.6165809398517013,0
59,1.2063292916864157,0
61,2.4642768315970898,0
29,1.4642159324139357,0
77,2.074593867175281,0
87,3.023754016496241,0
56,2.5829005986452103,1
33,2.042469473555684,0
51,3.9685941822826862,0
60,1.4059577193111181,0
5,0.6685413010418415,0
53,1.3934123860672116,0
46,1.684481275267899,0
76,3.5776922795921564,0
41,0.5392525028437376,0
64,1.5165800754912198,0
86,1.9181946059688926,0
58,2.0729591697454453,0
81,2.272901149932295,0
48,1.430282287299633,0
25,0.7304918877780437,0
53,1.337166209705174,0
75,2.587383858859539,0
45,1.5058452133089304,0
63,2.236676398664713,0
42,1.6772646065801382,0
44,1.1255234126001596,0
82,4.104212095960975,0
38,1.207386496476829,0
88,2.0235421610996127,0
83,1.7386074848473072,0
52,0.5862881913781166,0
7,1.690026342868805,0
45,1.498676324263215,0
91,1.9971135016530752,0
51,2.608714172616601,0
27,0.9880402060225606,1
94,2.9288400346413255,0
51,2.534577202051878,0
50,1.315495876595378,0
59,2.2423086296766996,0
36,1.4146107956767082,0
35,0.48397366143763065,1
67,2.6918789334595203,0
14,0.8093474097549915,0
49,1.4025544822216034,0
44,1.8647882398217916,0
31,2.3871602062135935,1
64,3.9547141809016466,0
45,0.532147298566997,0
79,2.237377591431141,0
39,1.2720568915829062,0
35,1.6796116619370878,0
62,1.8350899964571,1
92,2.38119074748829,0
51,1.0749983685091138,1
39,2.1978444922715425,0
58,1.9581248126924038,0
45,2.0962735805660486,0
87,2.9856554996222258,0
86,1.42503082472831,0
84,2.391902007162571,0
43,1.5781580936163664,0
32,2.173513127490878,0
88,1.6032136818394065,0
76,3.290576101280749,0
84,1.520619297400117,0
21,1.1413401141762733,0
46,2.273781118914485,0
82,2.0537811182439327,0
88,1.5732149723917246,0
14,1.4978753942996264,1
10,0.7630193792283535,0
93,3.646883643232286,0
15,1.8231003102846444,1
26,0.36579290218651295,0
56,1.8087848909199238,1
82,2.1642436869442463,0
79,2.1572258342057467,0
90,4.060137938708067,0
85,3.60035043861717,0
91,3.574032968841493,0
73,1.796641981229186,0
56,1.6977695245295763,0
23,0.23086280189454556,1
49,2.024210755713284,0
75,1.2768384916707873,0
79,1.254188321530819,0
48,0.5599684044718742,0
57,1.1486675813794136,0
59,1.8113870341330767,0
55,1.243680621497333,0
56,2.130668293684721,0
52,1.797278331592679,0
19,0.702454125508666,0
42,2.7168486015871167,0
88,2.5752158388495445,0
87,2.1886113323271275,0
76,1.73198461253196,0
15,0.925724926404655,0
16,1.4271574225276709,0
70,2.2641703924164176,0
35,2.2132029943168163,1
91,2.460416008718312,0
64,0.8224502555094659,0
51,1.5892467303201556,0
82,1.7761273169890046,0
82,1.9870202327147126,0
70,2.0896765245124698,1
74,2.5238659624010324,0
60,2.427952442318201,0
85,2.8752711061388254,0
27,0.658785205334425,0
92,4.042818069458008,0
56,3.26443412899971,0
67,2.3772102016955614,0
18,1.1902914009988308,1
30,1.8649111092090607,0
92,2.2300419872626662,0
60,2.26378960814327,0
6,0.6874089986085892,0
53,0.6130696944892406,0
88,2.4241463439539075,0
65,2.0837041521444917,0
62,2.7830277029424906,0
33,1.1572300978004932,0
71,2.3417125418782234,0
14,0.37728939950466156,0
63,1.3879303010180593,0
71,1.1923420056700706,0
32,1.3823080016300082,1
31,1.4584410078823566,0
48,1.7012133207172155,0
93,3.0859902910888195,0
59,0.9379687234759331,0
85,1.9220746862702072,0
48,1.9523682417348027,0
45,1.7386162048205733,0
82,2.7702158000320196,0
72,1.7147083226591349,0
31,2.178743023891002,0
57,1.175423089414835,0
83,1.2623410420492291,0
81,3.0565287061035633,0
38,1.6150023844093084,0
63,1.8944612899795175,0
77,2.5560696767643094,0
39,2.4692540168762207,0
16,0.20547609962522984,0
7,1.2634990215301514,0
40,1.0470810239203274,0
49,1.273714730516076,0
25,1.047186380252242,0
31,1.277139788493514,0
96,1.4637923939153552,0
19,1.7094967290759087,0
23,1.6030116458423436,0
90,3.1023515220731497,0
32,1.788114108145237,0
82,2.0580872679129243,0
59,1.8529975935816765,0
78,2.8482191525399685,0
57,1.9162674471735954,0
19,0.962889326736331,1
16,0.6483842916786671,0
10,0.46038699336349964,0
38,0.7263116054236889,0
74,2.740699954330921,0
81,2.1452906746417284,0
25,2.4765737671405077,0
62,2.166774658486247,0
44,0.5265853963792324,0
53,1.1553663983941078,0
17,1.2646993901580572,0
83,1.867264469154179,0
95,3.3605991220101714,0
20,0.5993279069662094,0
89,2.0717759020626545,0
21,0.5551468189805746,0
43,1.004416584968567,0
46,2.635644318535924,0
83,2.273166712373495,0
76,2.3730193404480815,0
33,0.4728314932435751,0
57,2.118834109045565,0
49,1.3865929320454597,0
31,1.0079280100762844,0
65,1.4488340746611357,0
27,0.24596360325813293,0
66,2.505418677814305,0
38,1.244242211803794,0
36,1.577725425362587,0
45,1.4924349635839462,0
27,0.6050238106399775,0
82,1.6699313092976809,0
66,2.7206822261214256,0
47,1.8202723562717438,0
88,1.7125473022460938,0
45,1.1815695920959115,0
91,2.58472846634686,0
77,1.399814086034894,0
23,0.9189376924186945,0
74,2.3824568009003997,0
