year,match_id,minute_2_0,xg_at_event,is_home_lead,target_comeback
2015,84,17,0.37256140634417534,1,0
2015,85,48,1.6677009733393788,0,0
2015,88,56,0.731504499912262,0,0
2015,90,23,0.251972496509552,0,0
2015,92,44,1.268755204975605,0,0
2015,93,36,0.28963350411504507,0,0
2015,94,51,0.39091240148991346,1,0
2015,95,46,0.9427954945713282,1,1
2015,97,37,0.6560568083077669,0,0
2015,99,78,2.1594167929142714,1,0
2015,104,86,1.8529323060065508,1,0
2015,106,27,0.094742301851511,0,0
2015,107,29,0.9915619194507599,0,0
2015,108,87,1.5956716062501073,0,0
2015,116,28,0.22546030022203922,0,0
2015,117,55,0.7854916080832481,1,0
2015,119,63,1.4844844061881304,1,0
2015,121,21,0.1727019026875496,1,0
2015,122,84,4.001076253131032,1,0
2015,126,51,0.4503710027784109,1,0
2015,127,69,1.008605821058154,1,0
2015,129,62,1.2662620777264237,0,1
2015,130,47,1.226112114265561,1,0
2015,132,27,1.179442210122943,0,0
2015,134,8,0.0,1,0
2015,135,19,0.07863080129027367,1,1
2015,137,30,0.6983449216932058,0,0
2015,142,60,0.9335944913327694,1,0
2015,145,58,0.8281770944595337,1,0
2015,146,48,0.30419760197401047,1,0
2015,148,59,1.0009952848777175,1,1
2015,150,53,0.8108347151428461,1,1
2015,151,88,0.8540585990995169,1,0
2015,155,46,1.485779969021678,0,0
2015,156,21,0.0749727999791503,1,1
2015,160,6,0.008856589905917645,1,0
2015,162,36,1.1287834160029888,1,1
2015,166,21,0.1518302969634533,0,0
2015,167,10,0.0,1,0
2015,168,67,1.1230848915874958,0,0
2015,175,68,1.2899037306196988,0,0
2015,176,37,0.23927330411970615,1,0
2015,177,64,1.3052170099690557,1,0
2015,185,67,0.9395943954586983,0,0
2015,186,47,0.9408873096108437,1,0
2015,188,30,0.5476403059437871,1,0
2015,189,35,0.35546880308538675,1,0
2015,190,45,0.32848030515015125,1,0
2015,192,64,0.7047068057581782,1,0
2015,193,90,1.0800173170864582,1,0
2015,202,25,0.6487907869741321,0,1
2015,205,61,1.470856912434101,0,0
2015,206,27,0.5886739064007998,1,0
2015,208,31,0.07531190104782581,0,0
2015,209,32,0.7123052105307579,1,0
2015,211,83,1.456333575770259,1,0
2015,213,35,0.439416890963912,0,1
2015,215,19,0.8244017083197832,1,0
2015,221,14,0.13173800706863403,1,0
2015,222,21,0.3242749869823456,0,0
2015,223,90,1.1884980406612158,1,0
2015,225,62,1.5937675861641765,1,0
2015,237,37,0.17443349957466125,0,0
2015,240,47,0.1683860970661044,1,0
2015,242,42,0.5251545011997223,0,0
2015,244,12,0.05258610099554062,1,0
2015,246,53,0.2661045975983143,0,0
2015,248,14,0.03666519932448864,1,0
2015,250,45,0.25795460119843483,1,0
2015,251,25,0.3119907071813941,1,0
2015,253,41,0.9341877866536379,1,0
2015,258,16,0.0,1,0
2015,260,54,0.6923378128558397,1,0
2015,263,86,0.508556199260056,1,0
2015,266,62,1.625810980796814,1,0
2015,268,78,2.4340476877987385,1,0
2015,271,54,1.7404707297682762,1,0
2015,279,59,1.1552151795476675,0,0
2015,281,37,0.8881462998688221,0,1
2015,284,72,1.562344084493816,1,0
2015,292,40,0.7231507040560246,1,0
2015,293,14,0.118870098143816,1,0
2015,294,34,0.26912979781627655,1,0
2015,296,53,0.7006552070379257,1,0
2015,302,83,1.6156070996075869,0,0
2015,304,65,1.0411427104845643,1,0
2015,307,57,1.015231592580676,1,0
2015,309,33,0.3422813005745411,0,0
2015,312,70,1.339997480623424,1,0
2015,313,29,0.5659887008368969,0,0
2015,315,84,1.9023674093186855,1,0
2015,317,22,0.4058101009577513,1,0
2015,319,87,1.3648067153990269,1,0
2015,321,47,1.4346292670816183,0,0
2015,323,27,0.048992499709129333,0,0
2015,327,69,0.9164319122210145,1,1
2015,329,23,0.20714089646935463,0,0
2015,333,64,0.4028356038033962,1,1
2015,336,51,0.5041582928970456,0,0
2015,337,8,0.010604700073599815,1,0
2015,339,24,0.019991500303149223,0,0
2015,345,55,0.3474611034616828,1,0
2015,346,19,0.39850289188325405,1,0
2015,348,31,0.5717943925410509,1,0
2015,349,29,0.1425304990261793,0,0
2015,350,78,1.0076614990830421,1,0
2015,353,45,0.27524590119719505,0,0
2015,357,40,0.09130620025098324,1,0
2015,363,55,1.3892259337008,1,1
2015,364,49,1.2050304021686316,1,0
2015,370,29,0.4723907131701708,0,0
2015,372,47,1.6848091213032603,0,0
2015,374,41,0.4605097081512213,0,0
2015,377,50,0.41754659824073315,0,0
2015,380,21,0.4893263019621372,0,1
2015,383,15,0.020401399582624435,1,0
2015,384,45,0.6411544037982821,0,0
2015,385,37,0.7225729078054428,1,0
2015,386,11,0.14829139783978462,0,0
2015,388,52,0.5039777979254723,1,1
2015,394,34,0.5500871948897839,0,1
2015,396,37,0.5702934954315424,1,0
2015,398,73,0.5810505049303174,0,0
2015,401,94,2.414898419752717,0,0
2015,402,73,0.8761748569086194,1,0
2015,405,52,0.488175880163908,0,0
2015,408,81,1.035671504214406,1,0
2015,410,53,1.3386807069182396,0,0
2015,412,46,0.6694358047097921,0,0
2015,414,66,1.456319397315383,0,0
2015,416,44,0.4784716935828328,1,0
2015,418,46,1.2700029984116554,1,0
2015,419,37,0.5601345989853144,1,0
2015,420,42,0.557737591676414,1,0
2015,421,38,1.3353083860129118,0,0
2015,422,33,0.4518266022205353,0,0
2015,423,29,0.11538250185549259,1,1
2015,425,29,0.2417611964046955,1,0
2015,431,46,1.193585578352213,0,0
2015,433,32,1.6414201948791742,1,0
