minute_2_0,xg_at_event,target_comeback
17,0.7847238918766379,0
61,0.6765460008755326,0
26,0.7486113952472806,0
72,2.1046294323168695,0
33,0.7926301136612892,0
74,1.5864051133394241,0
56,0.9760664906352758,0
74,2.4280328089371324,0
31,1.3595609655603766,0
50,1.5062211100012064,0
81,2.643142652697861,0
76,1.4070263989269733,0
22,3.0123895090073347,0
28,0.41589080076664686,0
45,1.9397534299641848,0
73,1.3281152760609984,0
28,1.8981775660067797,0
23,0.4622415881603956,0
62,2.467945510521531,0
15,0.26355489902198315,1
41,1.301026264205575,1
66,1.4548190515488386,0
92,2.389219799079001,0
37,2.5833181589841843,0
22,0.6625676844269037,0
48,1.6304540764540434,1
79,3.730111798271537,0
62,1.2223097002133727,0
77,1.6682157572358847,0
33,0.908117288723588,0
73,1.5051657119765878,0
56,1.981539910659194,1
48,0.8654382945969701,0
37,1.5575836058706045,0
46,1.7281012842431664,0
48,0.7181574171409011,0
36,1.477934792637825,0
55,2.7487474605441093,0
37,1.0225299093872309,0
28,0.7400205936282873,0
13,1.3273715749382973,0
76,2.703947866335511,0
54,2.2094621937721968,0
19,1.8799280226230621,1
86,2.089896271005273,0
90,2.4858873523771763,0
43,2.1374313039705157,0
87,2.299519380554557,0
63,2.6682292707264423,0
51,0.9680524989962578,0
42,1.7949411226436496,0
24,1.3311397209763527,0
79,1.3835493866354227,0
15,1.147999276407063,1
84,2.20715653244406,0
88,2.0522353975102305,0
44,1.940862676128745,0
46,2.0598586350679398,0
64,2.2778395833447576,1
16,0.15954269841313362,1
30,0.5364318937063217,0
58,1.4726894870400429,0
30,0.46778609976172447,1
50,0.6060562999919057,0
89,2.882153374142945,0
21,0.8412583572790027,0
66,1.9761755336076021,0
91,2.7528299735859036,0
11,1.4823619881644845,1
18,0.8921707719564438,0
67,1.278432847931981,0
43,0.5320745930075645,0
75,3.5305014150217175,0
69,2.015269917435944,0
57,1.1581927919760346,0
53,1.0536607773974538,0
91,3.2113972771912813,0
39,0.6502712937071919,0
64,1.2254060124978423,0
49,1.8681174935773015,0
27,0.5891283135861158,0
88,2.4095450676977634,0
49,1.2707953294739127,0
77,2.1161353765055537,0
53,2.035842073149979,0
11,1.6278161033988,0
76,1.4326069857925177,0
92,3.4519619634374976,0
22,0.9287621146067977,0
39,1.1453027846291661,0
68,1.6502561178058386,0
13,1.6619087271392345,0
72,1.920148877426982,0
46,1.4797612763941288,0
53,1.9029571767896414,0
41,1.715873404406011,0
82,0.857744793407619,0
37,1.4279900919646025,0
47,1.3184099905192852,0
26,2.2889375928789377,0
81,1.6594188837334514,0
77,2.332905446179211,0
34,0.8558043017983437,0
34,2.0842478880658746,0
76,2.5991567010059953,0
72,1.6969660855829716,0
90,2.4537418242543936,0
54,2.8964809477329254,0
91,1.9642185233533382,0
22,1.4629771709442139,1
75,1.7465369198471308,0
60,0.8282922944054008,1
51,2.1803727950900793,0
45,1.85532056260854,0
84,2.8280089860782027,0
39,1.7124240025877953,0
73,1.7600113125517964,0
12,1.0060229934751987,0
32,1.0460073854774237,0
60,3.595674393698573,0
56,1.8077519787475467,0
76,1.5951108648441732,0
64,0.8568164994940162,0
17,2.0000560879707336,0
81,1.959213873371482,0
57,2.8056598231196404,0
61,1.1561845988035202,0
95,2.166328454390168,0
75,1.780959908850491,0
35,1.1990502048283815,0
20,1.591729063540697,0
63,2.612545695155859,0
44,2.240334087982774,0
48,2.2565239937976003,0
59,2.1465498795732856,0
31,0.82468631118536,0
79,3.802370804361999,0
64,1.4560793982818723,0
43,2.185752149671316,0
74,1.7877671802416444,0
72,2.210491697303951,0
63,2.3963955836370587,0
38,0.858057290315628,1
45,1.0076944082975388,0
33,1.1306393966078758,0
85,1.4186925077810884,0
45,0.7210365850478411,0
52,1.9736530017107725,0
15,0.32315550185739994,0
45,2.723716013133526,0
6,0.68074931204319,0
25,1.4189793784171343,0
22,0.5305505068972707,0
48,2.4134637266397476,0
65,0.6806997871026397,0
52,2.01825300604105,0
62,1.7498458586633205,0
72,1.683024175465107,0
50,2.1641794070601463,0
37,2.037907611578703,0
31,2.2263669315725565,0
52,4.247415605932474,0
66,3.5804735580459237,0
50,1.6652609342709184,0
61,3.192992964759469,0
47,1.3142852084711194,0
17,0.17901130113750696,0
62,1.9281406830996275,0
81,2.0720997089520097,0
67,1.7007195111364126,0
72,1.8848783960565925,0
82,2.846725210547447,0
19,0.8434677049517632,1
9,0.23159260116517544,1
46,2.5162732377648354,0
31,1.7694260189309716,0
90,2.8365656808018684,0
72,2.1353450808674097,0
45,1.6011583730578423,0
67,2.1521559972316027,0
26,1.5529095698148012,0
45,2.0177681613713503,0
76,3.2088632928207517,0
92,1.3023425862193108,0
28,0.7570543065667152,0
78,2.3277112804353237,0
26,1.7500582924112678,0
18,1.688709576614201,0
56,2.667714335024357,0
85,4.718087534420192,0
43,0.9837363064289093,0
55,1.6761810053139925,0
34,0.6267956094816327,0
22,0.9670405164361,0
43,2.205671790987253,0
69,2.246837580576539,0
78,3.5135089196264744,0
40,1.9579802807420492,0
45,2.4606443140655756,0
71,1.9914665827527642,1
39,0.702423695474863,0
59,2.3261130088940263,0
92,3.189854158088565,0
61,3.07353669218719,0
8,0.5663972087204456,0
63,1.9577401727437973,0
90,2.537464302033186,0
33,2.1078706989064813,0
42,1.113229114562273,1
55,2.459683582186699,0
76,1.7356092035770416,0
26,1.538934930227697,0
48,1.498362509533763,0
13,0.5295815970748663,0
68,1.7769458685070276,0
65,1.8277193829417229,0
67,1.3620970137417316,0
29,0.7237308854237199,0
72,1.7168426159769297,0
62,2.022601395845413,0
66,2.8423393834382296,0
61,2.3942399760708213,0
72,3.617696611210704,0
59,1.6963866436854005,0
10,2.3807828202843666,0
15,0.9222345985472202,0
36,1.5543143888935447,0
27,1.9690369442105293,0
90,3.0055838245898485,0
36,0.6015616059303284,0
32,1.4219862008467317,0
93,1.622721765190363,0
87,2.2352945916354656,0
35,0.956772300414741,0
11,1.1641589999198914,0
26,1.7750194687396288,0
63,1.8894705064594746,0
24,1.271813502535224,0
16,1.4826093222945929,0
60,3.366630218923092,0
27,0.40598228946328163,0
83,1.990832389332354,0
23,1.3174165058881044,0
75,3.2287464635446668,0
40,0.9743038155138493,0
85,1.7010415396653116,0
17,0.5134910009801388,0
52,1.6874414756894112,0
44,0.6695985617116094,0
53,1.5165074840188026,0
21,0.9596305806189775,0
31,1.392590580508113,1
39,2.639212818816304,0
45,1.5542193800210953,0
77,1.5763434953987598,0
40,1.6431931853294373,1
12,0.5937423892319202,0
54,0.6731026493944228,0
50,2.061570920050144,0
64,1.8008478181436658,0
56,2.181488779373467,0
33,0.5520017091184855,0
53,2.40428476780653,0
59,2.5594892064109445,0
36,1.2995238965377212,0
33,1.881910509429872,1
82,1.8839661935344338,0
59,0.8620267193764448,0
30,0.7632413916289806,0
38,1.3032688107341528,0
49,1.1246922705322504,0
79,2.3575024222955108,0
81,2.1829968243837357,0
46,1.5418931134045124,0
91,2.467666817829013,0
42,1.985419257543981,0
49,3.006832073908299,0
37,0.7337483959272504,0
51,1.0379123883321881,0
47,1.8839018885046244,0
24,0.16361409798264503,0
34,0.1647518975660205,0
61,2.375859816558659,0
54,2.649545643478632,0
83,1.171937190927565,0
42,2.5495106680318713,0
64,2.6077010817825794,0
58,1.1081105815246701,0
7,0.6541978884488344,0
15,1.618346467614174,0
83,1.8634462282061577,0
58,1.7322165090590715,0
84,1.862170315347612,0
52,0.6830419953912497,0
63,1.0399013869464397,0
89,3.39940089546144,0
37,1.7860514344647527,0
47,1.6523077161982656,0
46,1.3491868004202843,0
14,0.7265878170728683,0
57,1.4766002111136913,0
29,1.987676251679659,0
32,1.1480392003431916,0
60,2.6446448490023613,0
59,1.5394498705863953,1
50,2.0201302506029606,1
46,2.0174897871911526,0
21,0.7039538789540529,0
95,1.7802576143294573,0
36,1.1973853763192892,1
26,1.171444894745946,0
52,0.6561676925048232,0
64,1.888161800801754,0
90,2.4557180972769856,0
31,1.53475686814636,0
25,0.4566412940621376,0
61,2.205192199908197,0
16,0.8479219004511833,0
3,0.5031770076602697,0
62,2.04435442853719,1
57,1.5711504621431231,0
51,2.46233775280416,0
80,3.4153656577691436,0
49,1.3543119770474732,0
65,1.3817543955519795,0
83,2.1218266105279326,0
57,3.8114853277802467,0
18,0.8012391095981002,0
33,1.1172332745045424,1
60,1.7215916328132153,0
89,2.305733185261488,0
66,2.7648281659930944,0
29,0.6461871042847633,1
88,2.474151100963354,0
40,1.292572282254696,0
57,2.532711861655116,0
40,2.507542380131781,0
